tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
351,24:46.6,30:38.0,227,Silber Way,42.349496,-71.10057592,361,Deerfield St at Commonwealth Ave,42.34924377,-71.0972821,2201,Customer,1969,0
875,25:54.9,40:30.4,119,South Boston Library - 646 E Broadway,42.335741,-71.03877,161,W Broadway at D St,42.3391085,-71.0514432,3695,Customer,1969,0
883,25:55.7,40:39.3,119,South Boston Library - 646 E Broadway,42.335741,-71.03877,161,W Broadway at D St,42.3391085,-71.0514432,2992,Customer,1969,0
816,27:02.3,40:38.9,100,Davis Square,42.396969,-71.123024,111,Packard Ave at Powderhouse Blvd,42.40449,-71.123413,3739,Customer,1969,0
842,27:13.6,41:16.4,73,Harvard Square at Brattle St / Eliot St,42.373231,-71.120886,378,191 Beacon St,42.38032335,-71.10878613,2461,Subscriber,1993,1
836,27:15.7,41:12.6,100,Davis Square,42.396969,-71.123024,111,Packard Ave at Powderhouse Blvd,42.40449,-71.123413,5140,Customer,1969,0
1867,27:22.9,58:30.2,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,112,Clarendon Hill at Broadway,42.406302,-71.132446,2804,Customer,1969,0
830,27:43.5,41:33.8,49,Stuart St at Charles St,42.351146,-71.066289,342,Boylston St at Jersey St,42.34465063,-71.09732501,642,Subscriber,1990,1
403,28:45.1,35:28.3,361,Deerfield St at Commonwealth Ave,42.34924377,-71.0972821,52,Newbury St at Hereford St,42.348717,-71.085954,369,Customer,1969,0
390,28:56.1,35:26.2,361,Deerfield St at Commonwealth Ave,42.34924377,-71.0972821,52,Newbury St at Hereford St,42.348717,-71.085954,2860,Customer,1969,0
421,28:59.0,36:00.5,178,MIT Pacific St at Purrington St,42.3595732,-71.10129476,107,Ames St at Main St,42.3625,-71.08822,4173,Subscriber,1994,1
1735,29:03.5,57:58.5,64,Congress St at Sleeper St,42.3510045,-71.04930013,90,Lechmere Station at Cambridge St / First St,42.370677,-71.076529,4384,Subscriber,1989,1
1703,29:19.1,57:43.0,64,Congress St at Sleeper St,42.3510045,-71.04930013,90,Lechmere Station at Cambridge St / First St,42.370677,-71.076529,5501,Subscriber,1985,0
372,29:46.9,35:59.8,178,MIT Pacific St at Purrington St,42.3595732,-71.10129476,107,Ames St at Main St,42.3625,-71.08822,5370,Subscriber,1993,1
